,importance
FAO_23014_roll3_mean,0.27359384
FAO_23014_lag1,0.19739892
FAO_23014_lag2,0.16961043
FAO_23014_roll6_mean,0.03539502
BDI_last_lag9,0.029469479
BDI_max_lag9,0.017952757
BDI_mean_lag9,0.015233537
BDI_min_lag9,0.010769176
BDI_spike_day_lag12,0.010067155
Brent_USD_per_barrel_lag9,0.009773975
ZAF_FAO_CP_23014_lag2,0.008837279
BDI_max_lag6,0.008171262
BDI_high_low_spread_lag9,0.008071669
ZWE_FAO_CP_23014_lag3,0.007451392
FAO_23012_lag2,0.007005108
NAM_FAO_CP_23014_lag3,0.0064018765
ZAF_FAO_CP_23014_lag1,0.006146776
FAO_23012_lag3,0.0058854506
BDI_range_lag9,0.0058757956
BDI_mean_lag12,0.005159887
KEN_FAO_CP_23014_lag6,0.005070038
BDI_range_lag6,0.0048981085
BDI_momentum_3m_lag2,0.004710798
BDI_min_lag12,0.0039640246
BDI_last_lag12,0.0039069653
NAM_FAO_CP_23014_lag9,0.0037905548
BDI_max_lag12,0.0037389908
BDI_spike_day_lag1,0.0037366755
FAO_23012_lag1,0.0037341563
BDI_std_lag9,0.0037185538
Brent_USD_per_barrel_lag6,0.0035035813
BDI_monthly_return_lag9,0.0033312975
ZWE_FAO_CP_23014_lag9,0.003159805
BDI_trading_days_lag1,0.00305808
BDI_high_low_spread_lag6,0.0030548282
FAO_23014_lag12,0.0029639015
BDI_std_lag6,0.0027064285
BDI_momentum_3m_lag1,0.0026217508
ZAF_FAO_CP_23014_lag12,0.002587051
NAM_FAO_CP_23014_lag6,0.0023742695
FAO_23013_lag6,0.0021656207
ZWE_FAO_CP_23014_lag6,0.0021161393
NAM_FAO_CP_23014_lag1,0.0019965172
BDI_momentum_1m_lag6,0.0019014121
ZWE_FAO_CP_23014_lag1,0.0018279831
BDI_trading_days_lag3,0.0017964933
FAO_23012_lag12,0.0017696535
BDI_intramonth_return_lag9,0.0017499833
ZWE_FAO_CP_23014_lag12,0.0017333319
BDI_intramonth_return_lag6,0.0017076354
BDI_return_std_lag1,0.0016804283
ZAF_FAO_CP_23014_lag3,0.001629138
BDI_momentum_3m_lag3,0.0015970094
BDI_std_lag12,0.0015258606
FAO_23014_lag6,0.001456282
BDI_momentum_1m_lag9,0.0014498731
FAO_23013_lag9,0.0014160977
BDI_trading_days_lag6,0.0013675833
KEN_FAO_CP_23014_lag2,0.0013607707
BDI_last_lag1,0.0013421009
Brent_USD_per_barrel_lag12,0.0013403029
BDI_monthly_return_lag1,0.0012815828
FAO_23014_lag9,0.0012772995
BDI_min_lag6,0.0012665733
BDI_momentum_1m_lag1,0.0012451488
BDI_momentum_3m_lag9,0.0012224377
BDI_momentum_1m_lag3,0.0012115308
BDI_min_lag2,0.0011921037
BDI_intramonth_return_lag1,0.0011783463
KEN_FAO_CP_23014_lag9,0.0011531289
Brent_USD_per_barrel_lag3,0.0011436752
BDI_std_lag2,0.0011426916
BDI_max_lag3,0.0011202334
ZWE_FAO_CP_23014_lag2,0.001094324
BDI_monthly_return_lag12,0.0010784842
BDI_range_lag12,0.0010783823
BDI_return_std_lag9,0.0010719309
BDI_return_std_lag2,0.0010716727
FAO_23014_roll12_mean,0.0010621292
BDI_high_low_spread_lag3,0.001053424
BDI_return_std_lag6,0.0010312803
KEN_FAO_CP_23014_lag3,0.0009935717
BDI_min_lag1,0.000982099
BDI_range_lag2,0.0009577999
KEN_FAO_CP_23014_lag1,0.00094902597
BDI_return_std_lag3,0.000944459
BDI_momentum_1m_lag2,0.00091974705
FAO_23014_roll6_std,0.00089536596
FAO_23013_lag2,0.00088060414
month_sin,0.0008800536
BDI_max_lag1,0.00087965437
ZAF_FAO_CP_23014_lag6,0.00083254
BDI_intramonth_return_lag12,0.0008305277
FAO_23013_lag1,0.000767789
BDI_intramonth_return_lag3,0.0007565137
policy_rate_lag1,0.000744247
FAO_23014_lag3,0.0007405237
BDI_std_lag1,0.0007030687
BDI_momentum_3m_lag12,0.00067934685
Brent_USD_per_barrel_lag1,0.0006767693
BDI_high_low_spread_lag12,0.0006447309
BDI_monthly_return_lag3,0.0006442902
BDI_last_lag2,0.0006353962
BDI_mean_lag1,0.00061515847
BDI_return_std_lag12,0.0006144738
BDI_momentum_3m_lag6,0.00060996134
month_cos,0.0005980488
BDI_last_lag3,0.00058847514
KEN_FAO_CP_23014_lag12,0.00058106356
BDI_trading_days_lag2,0.0005763182
BDI_max_lag2,0.00055500667
Brent_USD_per_barrel_lag2,0.000544178
BDI_intramonth_return_lag2,0.0005383676
BDI_momentum_1m_lag12,0.0005370224
FAO_23013_lag12,0.0005317951
BDI_monthly_return_lag2,0.0005299813
BDI_mean_lag3,0.00052983814
BDI_trading_days_lag9,0.0005201658
NAM_FAO_CP_23014_lag2,0.00051306287
BDI_range_lag1,0.0005073274
BDI_spike_day_lag3,0.00048407234
BDI_range_lag3,0.00048085564
BDI_monthly_return_lag6,0.0004585478
BDI_std_lag3,0.00043994837
BDI_mean_lag6,0.000436748
NAM_FAO_CP_23014_lag12,0.00042233686
BDI_mean_lag2,0.0004106716
BDI_last_lag6,0.0003816403
BDI_trading_days_lag12,0.0003605087
ZAF_FAO_CP_23014_lag9,0.0003446426
FAO_23012_lag6,0.00031545386
BDI_min_lag3,0.0003076994
FAO_23012_lag9,0.00026404957
BDI_spike_day_lag9,0.0002537617
FAO_23013_lag3,0.00022834112
policy_rate_lag12,0.00017233299
BDI_spike_day_lag2,2.8382908e-06
policy_rate_lag9,0.0
policy_rate_lag6,0.0
policy_rate_lag3,0.0
policy_rate_lag2,0.0
BDI_spike_day_lag6,0.0
BDI_high_low_spread_lag1,0.0
BDI_high_low_spread_lag2,0.0
year_trend,0.0
