cause,effect,lag,ssr_ftest_pval,granger_significant
BWA_FAO_CP_23012,FAO_23014,1,0.4007,False
BWA_FAO_CP_23012,FAO_23014,2,0.0016,True
BWA_FAO_CP_23012,FAO_23014,3,0.0028,True
BWA_FAO_CP_23013,FAO_23014,1,0.1857,False
BWA_FAO_CP_23013,FAO_23014,2,0.098,False
BWA_FAO_CP_23013,FAO_23014,3,0.1682,False
BWA_FAO_CP_23014,FAO_23014,1,1.0,False
BWA_FAO_CP_23014,FAO_23014,2,1.0,False
BWA_FAO_CP_23014,FAO_23014,3,1.0,False
KEN_FAO_CP_23012,FAO_23014,1,0.4287,False
KEN_FAO_CP_23012,FAO_23014,2,0.2717,False
KEN_FAO_CP_23012,FAO_23014,3,0.256,False
KEN_FAO_CP_23013,FAO_23014,1,0.5437,False
KEN_FAO_CP_23013,FAO_23014,2,0.458,False
KEN_FAO_CP_23013,FAO_23014,3,0.3597,False
KEN_FAO_CP_23014,FAO_23014,1,0.6125,False
KEN_FAO_CP_23014,FAO_23014,2,0.5134,False
KEN_FAO_CP_23014,FAO_23014,3,0.3271,False
NAM_FAO_CP_23012,FAO_23014,1,0.3891,False
NAM_FAO_CP_23012,FAO_23014,2,0.1499,False
NAM_FAO_CP_23012,FAO_23014,3,0.0822,False
NAM_FAO_CP_23013,FAO_23014,1,0.372,False
NAM_FAO_CP_23013,FAO_23014,2,0.0104,True
NAM_FAO_CP_23013,FAO_23014,3,0.0197,True
NAM_FAO_CP_23014,FAO_23014,1,0.1019,False
NAM_FAO_CP_23014,FAO_23014,2,0.0484,True
NAM_FAO_CP_23014,FAO_23014,3,0.092,False
ZAF_FAO_CP_23012,FAO_23014,1,0.4364,False
ZAF_FAO_CP_23012,FAO_23014,2,0.1162,False
ZAF_FAO_CP_23012,FAO_23014,3,0.1839,False
ZAF_FAO_CP_23013,FAO_23014,1,0.401,False
ZAF_FAO_CP_23013,FAO_23014,2,0.001,True
ZAF_FAO_CP_23013,FAO_23014,3,0.0027,True
ZAF_FAO_CP_23014,FAO_23014,1,0.0106,True
ZAF_FAO_CP_23014,FAO_23014,2,0.0004,True
ZAF_FAO_CP_23014,FAO_23014,3,0.0009,True
ZWE_FAO_CP_23012,FAO_23014,1,0.4096,False
ZWE_FAO_CP_23012,FAO_23014,2,0.8113,False
ZWE_FAO_CP_23012,FAO_23014,3,0.9346,False
ZWE_FAO_CP_23013,FAO_23014,1,0.3213,False
ZWE_FAO_CP_23013,FAO_23014,2,0.8599,False
ZWE_FAO_CP_23013,FAO_23014,3,0.9573,False
ZWE_FAO_CP_23014,FAO_23014,1,0.2776,False
ZWE_FAO_CP_23014,FAO_23014,2,0.866,False
ZWE_FAO_CP_23014,FAO_23014,3,0.4287,False
