cause,effect,lag,ssr_ftest_p_value
ZAF_FAO_CP_23014,FAO_23014,1,0.010563639845380833
ZAF_FAO_CP_23014,FAO_23014,2,0.00041094489851926306
ZAF_FAO_CP_23014,FAO_23014,3,0.0008740147655281179
NAM_FAO_CP_23014,FAO_23014,1,0.10185616563404447
NAM_FAO_CP_23014,FAO_23014,2,0.04838780953800354
NAM_FAO_CP_23014,FAO_23014,3,0.09202693782932032
KEN_FAO_CP_23014,FAO_23014,1,0.612450527376083
KEN_FAO_CP_23014,FAO_23014,2,0.5133619143516907
KEN_FAO_CP_23014,FAO_23014,3,0.32710339311399805
ZWE_FAO_CP_23014,FAO_23014,1,0.2775628409257403
ZWE_FAO_CP_23014,FAO_23014,2,0.8659806651582553
ZWE_FAO_CP_23014,FAO_23014,3,0.42869058135127003
