variable,coefficient,std_err,t_stat,p_value,significant
const,3.3953,2.5495,1.332,0.1829,False
BWA_FAO_CP_23012_lag1,0.5398,0.2598,2.077,0.0378,True
BWA_FAO_CP_23012_lag2,-0.3585,0.2442,-1.468,0.1421,False
BWA_FAO_CP_23013_lag1,-0.2073,0.3375,-0.614,0.5391,False
BWA_FAO_CP_23013_lag2,0.0626,0.336,0.186,0.8522,False
BWA_FAO_CP_23014_lag1,1.2029,0.1293,9.302,0.0,True
BWA_FAO_CP_23014_lag2,-0.3141,0.1177,-2.668,0.0076,True
KEN_FAO_CP_23012_lag1,0.0704,0.1475,0.477,0.633,False
KEN_FAO_CP_23012_lag2,-0.018,0.1604,-0.112,0.9108,False
KEN_FAO_CP_23013_lag1,-0.0816,0.0938,-0.869,0.3846,False
KEN_FAO_CP_23013_lag2,0.059,0.1046,0.564,0.5728,False
KEN_FAO_CP_23014_lag1,0.037,0.0375,0.987,0.3234,False
KEN_FAO_CP_23014_lag2,-0.0223,0.0416,-0.535,0.5926,False
NAM_FAO_CP_23012_lag1,-0.133,0.2773,-0.48,0.6315,False
NAM_FAO_CP_23012_lag2,0.1721,0.2878,0.598,0.55,False
NAM_FAO_CP_23013_lag1,0.2102,0.2209,0.951,0.3415,False
NAM_FAO_CP_23013_lag2,-0.2706,0.2178,-1.242,0.2142,False
NAM_FAO_CP_23014_lag1,-0.0835,0.105,-0.796,0.4263,False
NAM_FAO_CP_23014_lag2,0.1256,0.1075,1.169,0.2425,False
ZAF_FAO_CP_23012_lag1,-0.0684,0.1796,-0.381,0.7033,False
ZAF_FAO_CP_23012_lag2,-0.1442,0.1949,-0.739,0.4596,False
ZAF_FAO_CP_23013_lag1,0.1151,0.3182,0.362,0.7176,False
ZAF_FAO_CP_23013_lag2,0.0124,0.3226,0.038,0.9694,False
ZAF_FAO_CP_23014_lag1,0.1219,0.1183,1.031,0.3026,False
ZAF_FAO_CP_23014_lag2,-0.0762,0.1328,-0.574,0.5663,False
ZWE_FAO_CP_23012_lag1,-0.0004,0.0015,-0.243,0.808,False
ZWE_FAO_CP_23012_lag2,0.0005,0.0016,0.316,0.7517,False
ZWE_FAO_CP_23013_lag1,0.0001,0.0005,0.195,0.8455,False
ZWE_FAO_CP_23013_lag2,-0.0001,0.0006,-0.227,0.8207,False
ZWE_FAO_CP_23014_lag1,0.0004,0.0021,0.191,0.8485,False
ZWE_FAO_CP_23014_lag2,0.0009,0.0021,0.415,0.6778,False
